CONFIG_END	pc	cacr	tc
CONFIG_END	800C440E	80008000	0000C000
ENABLED_CYCLES	ic	dc	mmu
ENABLED_CYCLES	524160000	524160000	524160000
SUMMARY	cycles	dispatches	clocks_per_dispatch	rd_accept_samples	look_hit_cycles	ipred_hit_cycles
SUMMARY	524160000	84831590	6.178830	57523785	73871773	3604744
STATE	id	cycles	entries	percent
TRANSITION	97	53	212367
TRANSITION	97	181	1402
TRANSITION	98	3	112
TRANSITION	98	4	16
TRANSITION	98	5	44613
TRANSITION	98	20	170
TRANSITION	99	3	735
TRANSITION	99	4	48666
TRANSITION	99	20	1738
TRANSITION	99	181	5
TRANSITION	99	190	47520
TRANSITION	102	70	233640
TRANSITION	103	30	3986
TRANSITION	104	20	3986
TRANSITION	106	3	26924
TRANSITION	107	3	1948
TRANSITION	112	113	380489
TRANSITION	113	11	340924
TRANSITION	113	114	39565
TRANSITION	114	115	6384
TRANSITION	114	116	33181
TRANSITION	115	116	6384
TRANSITION	116	130	39565
TRANSITION	117	9	340924
TRANSITION	118	9	3668
TRANSITION	118	120	337256
TRANSITION	119	120	3668
TRANSITION	120	130	340924
TRANSITION	121	10	133020
TRANSITION	122	10	42
TRANSITION	129	4	6239
TRANSITION	129	20	100
TRANSITION	129	153	44
TRANSITION	129	181	1
TRANSITION	130	131	380489
TRANSITION	131	3	1085
TRANSITION	131	4	97438
TRANSITION	131	20	142413
TRANSITION	131	129	6384
TRANSITION	131	132	133020
TRANSITION	131	181	61
TRANSITION	131	190	88
TRANSITION	132	121	133020
TRANSITION	133	3	15186
TRANSITION	133	181	18
TRANSITION	151	10	18
TRANSITION	151	182	12
TRANSITION	152	9	6
TRANSITION	153	8	40
TRANSITION	153	11	128
TRANSITION	153	154	62
TRANSITION	153	157	8
TRANSITION	153	158	76
TRANSITION	153	160	145
TRANSITION	153	164	62
TRANSITION	153	173	319
TRANSITION	154	162	62
TRANSITION	155	158	44
TRANSITION	155	162	46
TRANSITION	155	164	38
TRANSITION	157	8	8
TRANSITION	157	160	8
TRANSITION	158	9	120
TRANSITION	160	4	4
TRANSITION	160	10	145
TRANSITION	160	20	68
TRANSITION	160	153	44
TRANSITION	160	191	12
TRANSITION	161	4	18
TRANSITION	161	10	236
TRANSITION	161	20	115
TRANSITION	161	153	12
TRANSITION	162	4	38
TRANSITION	162	9	129
TRANSITION	162	20	51
TRANSITION	162	65	12
TRANSITION	162	153	7
TRANSITION	162	163	85
TRANSITION	163	3	6
TRANSITION	163	4	101
TRANSITION	163	10	85
TRANSITION	163	20	112
TRANSITION	164	9	130
TRANSITION	164	165	84
TRANSITION	165	4	15
TRANSITION	165	10	252
TRANSITION	165	20	6
TRANSITION	165	153	79
TRANSITION	165	164	114
TRANSITION	167	20	18
TRANSITION	171	4	6
TRANSITION	173	4	78
TRANSITION	173	153	22
TRANSITION	173	163	219
TRANSITION	175	23	137
TRANSITION	175	118	39
TRANSITION	176	5	24
TRANSITION	177	3	12
TRANSITION	177	20	12
TRANSITION	177	153	16
TRANSITION	178	179	1137178
TRANSITION	178	180	162454
TRANSITION	179	178	1137178
TRANSITION	180	3	162454
TRANSITION	181	34	14979
TRANSITION	182	10	156
TRANSITION	183	4	12
TRANSITION	183	182	144
TRANSITION	190	3	2155747
TRANSITION	190	4	6092800
TRANSITION	190	9	47699
TRANSITION	190	20	5332198
TRANSITION	190	28	137451
TRANSITION	190	51	134430
TRANSITION	190	53	1441420
TRANSITION	190	55	2475
TRANSITION	190	56	66123
TRANSITION	190	65	2678
TRANSITION	190	153	133
TRANSITION	190	181	646
TRANSITION	191	35	12
OPCODE	opcode	dispatches	percent
OPCODE	51CA	2328253	2.744559
OPCODE	22C4	2058218	2.426240
OPCODE	F624	1699885	2.003835
OPCODE	4E75	1654646	1.950507
OPCODE	6EFA	1520689	1.792598
OPCODE	2ADC	1284114	1.513721
OPCODE	B041	931530	1.098093
OPCODE	B0B8	923542	1.088677
OPCODE	F623	789053	0.930141
OPCODE	51C9	753370	0.888077
OPCODE	3018	732808	0.863839
OPCODE	B3CA	714814	0.842627
OPCODE	6D06	713463	0.841035
OPCODE	B452	664144	0.782897
OPCODE	6DFA	652931	0.769679
OPCODE	B451	634458	0.747903
OPCODE	594A	619360	0.730105
OPCODE	B481	560514	0.660737
OPCODE	6002	551667	0.650308
OPCODE	1018	550016	0.648362
OPCODE	6706	530408	0.625248
OPCODE	51CE	527205	0.621472
OPCODE	51CD	521414	0.614646
OPCODE	202E	514718	0.606753
OPCODE	3219	491459	0.579335
OPCODE	5043	477745	0.563169
OPCODE	4A11	473328	0.557962
OPCODE	66C0	471718	0.556064
OPCODE	22C0	439490	0.518074
OPCODE	B3D6	426840	0.503162
OPCODE	6426	424884	0.500856
OPCODE	5380	424419	0.500308
OPCODE	4258	424005	0.499820
OPCODE	2211	423466	0.499184
OPCODE	C282	420790	0.496030
OPCODE	D3C1	420767	0.496003
OPCODE	4681	396067	0.466886
OPCODE	4EB0	389236	0.458834
OPCODE	0C40	369736	0.435847
OPCODE	D040	365699	0.431088
OPCODE	2602	358823	0.422983
OPCODE	302E	353814	0.417078
OPCODE	5849	348058	0.410293
OPCODE	D685	345197	0.406920
OPCODE	6E06	340692	0.401610
OPCODE	48E7	340141	0.400960
OPCODE	4EBA	338689	0.399249
OPCODE	D8C7	330024	0.389034
OPCODE	4E71	328139	0.386812
OPCODE	8685	325744	0.383989
OPCODE	2883	325744	0.383989
OPCODE	C694	325744	0.383989
OPCODE	BE6E	318997	0.376036
OPCODE	5343	305548	0.360182
